Modified Date: 2022-06-03 23:33 UTC,,,,,,,,,,,,,,,,,,
disclaimer_EN,,,,,,,,,,,,,,,,,,
Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
KING POINT (AUT),YUKON TERRITORY,2100678,8994,,,69.08,-138.02,690500000,-1380100000,61,1985,1986,1985,1986,,,,
KLONDIKE,YUKON TERRITORY,2100679,1566,,,64.45,-138.22,642714000,-1381256000,972.6,1966,2010,,,1966,2010,1966,2007
KLUANE LAKE,YUKON TERRITORY,2100680,1567,,,61.02,-138.4,610100000,-1382400000,786.4,1946,1983,,,1946,1983,1970,1983
KOMAKUK BEACH,YUKON TERRITORY,2100682,10822,71046,WKM,69.61,-140.2,693643000,-1401149000,13.2,1994,2022,1994,2022,1994,2022,,
KOMAKUK BEACH A,YUKON TERRITORY,2100685,1568,71969,YAJ,69.58,-140.18,693500000,-1401100000,7.3,1958,1993,1973,1993,1958,1993,1958,1993
LITTLE GOLD CREEK,YUKON TERRITORY,2100690,1569,,,64.08,-141,640500000,-1410000000,1257.3,1974,1999,,,1974,1999,1974,1999
MACMILLAN PASS,YUKON TERRITORY,2100695,1570,,,63.17,-130.2,631000000,-1301200000,1408.8,1970,1971,,,1970,1971,1970,1971
MACMILLAN PASS,YUKON TERRITORY,2100693,27339,71990,WNV,63.24,-130.04,631437026,-1300214028,1379,1998,2022,1998,2022,1998,2022,1998,2007
MACPASS AIRSTRIP,YUKON TERRITORY,21006RN,1550,,,63.18,-130.18,631100000,-1301100000,1219.2,1981,1983,,,1981,1983,1982,1983
MACPHERSON,YUKON TERRITORY,2100FRN,1513,,,60.82,-135.22,604900000,-1351300000,686.1,1984,1988,,,1984,1988,1984,1988
MACTUNG,YUKON TERRITORY,2100696,1571,,,63.28,-130.18,631700000,-1301100000,1889.8,1972,1973,,,1972,1973,1972,1973
MARGARET LAKE,YUKON TERRITORY,2100697,27296,71977,WZR,68.8,-140.85,684802000,-1405051000,568,1997,2022,1997,2022,1997,2022,2004,2006
MARSH LAKE,YUKON TERRITORY,2100698,26998,,,60.43,-134.25,602600000,-1341500000,655,1994,2002,,,1994,2002,1994,2002
MAYO A,YUKON TERRITORY,2100700,1572,71965,YMA,63.62,-135.87,633700000,-1355200000,503.8,1924,2013,1953,2013,1924,2013,1925,2013
MAYO A,YUKON TERRITORY,2100701,51426,71965,YMA,63.62,-135.87,633659000,-1355206000,503.8,2013,2022,2013,2022,2013,2022,,
MAYO A,YUKON TERRITORY,2100702,54178,,YMA,63.62,-135.87,633700000,-1355208000,503.8,2016,2022,2016,2022,2018,2022,,
MAYO ROAD,YUKON TERRITORY,2100709,1573,,,60.88,-135.18,605235000,-1351058000,655,1983,2017,,,1983,2017,1983,2007
MCQUESTEN,YUKON TERRITORY,2100720,1575,,,63.55,-137.4,633300000,-1372400000,426.7,1968,1968,,,1968,1968,1968,1968
MCQUESTEN,YUKON TERRITORY,2100719,1574,,,63.59,-137.52,633539000,-1373121000,458.2,1986,2014,,,1986,2014,1986,2007
MIDWAY LODGE,YUKON TERRITORY,2100PLF,1514,,,62.53,-136.75,623200000,-1364500000,610,1987,1988,,,1987,1988,1987,1988
MINTO,YUKON TERRITORY,2100744,1576,,,62.63,-137.25,623800000,-1371500000,914.4,1974,1974,,,1974,1974,1974,1974
MOOSE CREEK,YUKON TERRITORY,2100746,1577,,,63.52,-137.02,633100000,-1370100000,460.2,1972,1975,,,1972,1975,1973,1975
MORLEY RIVER,YUKON TERRITORY,2100750,1578,,,60.02,-132.17,600100000,-1321000000,823,1984,1989,,,1984,1989,1984,1989
